"Pk","Player","College","draft_year","athlete_id","team_id","athlete_position_name","athlete_headshot_href","team_location","team_logo","minutes","field_goals_made","field_goals_attempted","three_point_field_goals_made","three_point_field_goals_attempted","free_throws_made","free_throws_attempted","offensive_rebounds","defensive_rebounds","rebounds","assists","steals","blocks","turnovers","fouls","points","games"
50,"Lavoy Allen","Temple",2011,36614,218,"Forward",NA,"Temple","https://a.espncdn.com/i/teamlogos/ncaa/500/218.png",33.94,4.67,9.73,0.15,0.52,2.09,3,2.67,5.91,8.58,2.27,0.7,1.85,1.64,2.27,11.58,33
51,"Jon Diebler","Ohio State",2011,36132,194,"Guard",NA,"Ohio State","https://a.espncdn.com/i/teamlogos/ncaa/500/194.png",35.68,3.92,7.73,3.08,6.14,1.73,2.14,0.38,2.27,2.65,2.38,0.97,0.14,0.95,1,12.65,37
52,"Vernon Macklin","Florida",2011,32019,57,"Center",NA,"Florida","https://a.espncdn.com/i/teamlogos/ncaa/500/57.png",24.46,5.16,8.7,0,0,1.24,2.76,2.22,3.16,5.38,0.81,0.35,0.7,1.7,2.46,11.57,37
53,"DeAndre Liggins","Kentucky",2011,41837,96,"Guard",NA,"Kentucky","https://a.espncdn.com/i/teamlogos/ncaa/500/96.png",31.61,2.95,6.95,0.95,2.42,1.79,2.76,0.58,3.45,4.03,2.53,1.21,0.74,1.45,2.47,8.63,38
55,"E'Twaun Moore","Purdue",2011,36152,2509,"Guard",NA,"Purdue","https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png",33.88,6.5,14.53,2.06,5.15,2.94,4.15,1.5,3.65,5.15,3.18,1.21,0.53,1.79,2.09,18,34
60,"Isaiah Thomas","Washington",2011,41021,264,"Guard",NA,"Washington","https://a.espncdn.com/i/teamlogos/ncaa/500/264.png",31.86,5.37,12.06,1.71,4.91,4.31,6,0.74,2.77,3.51,6.09,1.34,0.06,2.97,2.14,16.77,35
1,"Anthony Davis","Kentucky",2012,56353,96,"Forward",NA,"Kentucky","https://a.espncdn.com/i/teamlogos/ncaa/500/96.png",32.02,5.25,8.43,0.07,0.5,3.6,5.08,2.98,7.4,10.38,1.25,1.35,4.65,1.02,1.95,14.18,40
2,"Michael Kidd-Gilchrist","Kentucky",2012,56352,96,"Forward",NA,"Kentucky","https://a.espncdn.com/i/teamlogos/ncaa/500/96.png",31.12,4,8.15,0.32,1.27,3.58,4.8,2.58,4.85,7.42,1.88,0.98,0.92,2.17,2.42,11.9,40
3,"Bradley Beal","Florida",2012,56792,57,"Guard",NA,"Florida","https://a.espncdn.com/i/teamlogos/ncaa/500/57.png",34.24,4.73,10.62,1.7,5.03,3.59,4.68,1.35,5.38,6.73,2.24,1.38,0.84,2.14,2.05,14.76,37
4,"Dion Waiters","Syracuse",2012,51344,183,"Guard",NA,"Syracuse","https://a.espncdn.com/i/teamlogos/ncaa/500/183.png",24.08,4.59,9.65,1.11,3.05,2.32,3.19,0.49,1.81,2.3,2.49,1.81,0.32,1.3,1.86,12.62,37
4,"Dion Waiters","Syracuse",2012,57503,55,"Guard",NA,"Jacksonville State","https://a.espncdn.com/i/teamlogos/ncaa/500/55.png",16.32,0.95,2.64,0,0.5,1.41,2.05,0.95,1.82,2.77,1.91,1.14,0.05,1.18,1.91,3.32,22
5,"Thomas Robinson","Kansas",2012,46114,2305,"Forward",NA,"Kansas","https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png",31.74,6.68,13.13,0.18,0.37,4.11,5.97,2.87,8.84,11.71,1.87,1.05,0.87,2.66,2.71,17.66,38
6,"Damian Lillard","Weber State",2012,41544,2692,"Guard",NA,"Weber State","https://a.espncdn.com/i/teamlogos/ncaa/500/2692.png",34.94,7.19,15.61,2.9,7.19,7.19,8.1,0.55,4.48,5.03,4.06,1.52,0.23,2.26,2,24.48,31
7,"Harrison Barnes","UNC",2012,51385,153,"Forward",NA,"North Carolina","https://a.espncdn.com/i/teamlogos/ncaa/500/153.png",29.24,6.03,13.71,1.29,3.61,3.71,5.13,1.95,3.26,5.21,1.13,1.08,0.34,1.95,1.79,17.05,38
8,"Terrence Ross","Washington",2012,51075,264,"Guard",NA,"Washington","https://a.espncdn.com/i/teamlogos/ncaa/500/264.png",31.09,6.14,13.43,2.06,5.54,2.06,2.66,1.37,5.06,6.43,1.4,1.26,0.94,2,2.83,16.4,35
9,"Andre Drummond","UConn",2012,57279,41,"Center",NA,"UConn","https://a.espncdn.com/i/teamlogos/ncaa/500/41.png",28.44,4.62,8.59,0,0.06,0.76,2.59,3.35,4.21,7.56,0.44,0.82,2.71,1.53,2.21,10,34
10,"Austin Rivers","Duke",2012,56112,150,"Guard",NA,"Duke","https://a.espncdn.com/i/teamlogos/ncaa/500/150.png",33.21,5.12,11.82,1.71,4.68,3.56,5.41,0.62,2.76,3.38,2.09,0.97,0.03,2.32,2.24,15.5,34
11,"Meyers Leonard","Illinois",2012,51088,356,"Center",NA,"Illinois","https://a.espncdn.com/i/teamlogos/ncaa/500/356.png",31.81,5.31,9.09,0.03,0.34,2.91,3.97,2.28,5.91,8.19,1.34,0.47,1.88,2.12,2.94,13.56,32
12,"Jeremy Lamb","UConn",2012,51453,41,"Guard/Forward",NA,"UConn","https://a.espncdn.com/i/teamlogos/ncaa/500/41.png",37.24,6.38,13.35,2.09,6.21,2.88,3.56,0.94,3.94,4.88,1.71,1.24,0.62,2,1.68,17.74,34
13,"Kendall Marshall","UNC",2012,51383,153,"Guard",NA,"North Carolina","https://a.espncdn.com/i/teamlogos/ncaa/500/153.png",33,2.92,6.25,0.78,2.19,1.53,2.19,0.17,2.44,2.61,9.75,1.19,0.17,2.81,1.56,8.14,36
14,"John Henson","UNC",2012,45531,153,"Forward",NA,"North Carolina","https://a.espncdn.com/i/teamlogos/ncaa/500/153.png",29.11,5.86,11.71,0,0,1.97,3.86,2.54,7.4,9.94,1.26,0.57,2.89,1.29,1.57,13.69,35
15,"Maurice Harkless","St. John's",2012,57023,2599,"Guard/Forward",NA,"St. John's","https://a.espncdn.com/i/teamlogos/ncaa/500/2599.png",36.09,6.03,13.34,0.53,2.47,2.94,4.34,2.75,5.88,8.62,1.47,1.59,1.41,2.5,2.31,15.53,32
16,"Royce White","Iowa State",2012,45982,66,"Forward",NA,"Iowa State","https://a.espncdn.com/i/teamlogos/ncaa/500/66.png",31.53,5.15,9.65,0.12,0.35,3,6.03,2.5,6.79,9.29,5,1.18,0.94,3.82,2.62,13.41,34
17,"Tyler Zeller","UNC",2012,41465,153,"Forward",NA,"North Carolina","https://a.espncdn.com/i/teamlogos/ncaa/500/153.png",28.16,5.79,10.47,0,0,4.76,5.89,3.84,5.76,9.61,0.95,0.89,1.53,1.92,2.68,16.34,38
18,"Terrence Jones","Kentucky",2012,51540,96,"Forward",NA,"Kentucky","https://a.espncdn.com/i/teamlogos/ncaa/500/96.png",29.32,4.66,9.32,0.42,1.29,2.61,4.16,2.53,4.63,7.16,1.34,1.29,1.79,1.63,2.39,12.34,38
19,"Andrew Nicholson","St. Bonaventure",2012,41510,179,"Forward",NA,"St. Bonaventure","https://a.espncdn.com/i/teamlogos/ncaa/500/179.png",30.06,6.88,12.03,0.72,1.66,4,5.16,2.59,5.81,8.41,1.03,0.66,1.97,2.5,2.81,18.47,32
21,"Jared Sullinger","Ohio State",2012,51405,194,"Forward",NA,"Ohio State","https://a.espncdn.com/i/teamlogos/ncaa/500/194.png",30.35,6.16,11.86,0.43,1.08,4.73,6.16,3.14,6.05,9.19,1.24,1.16,1.05,1.92,2.95,17.49,37
22,"Fab Melo","Syracuse",2012,51343,183,"Center",NA,"Syracuse","https://a.espncdn.com/i/teamlogos/ncaa/500/183.png",25.43,3.27,5.77,0,0,1.27,2,2.67,3.17,5.83,0.7,0.5,2.93,1.43,2.83,7.8,30
23,"John Jenkins","Vanderbilt",2012,45892,238,"Guard",NA,"Vanderbilt","https://a.espncdn.com/i/teamlogos/ncaa/500/238.png",33.63,6.2,13.09,3.83,8.71,3.66,4.37,0.46,2.43,2.89,1.2,0.83,0.31,1.57,1.2,19.89,35
24,"Jared Cunningham","Oregon State",2012,46146,204,"Guard",NA,"Oregon State","https://a.espncdn.com/i/teamlogos/ncaa/500/204.png",35.09,5.51,12.37,1.4,4.17,5.51,7.51,1.03,2.83,3.86,2.86,2.57,0.43,2.91,2.43,17.94,35
25,"Tony Wroten","Washington",2012,56838,264,"Guard",NA,"Washington","https://a.espncdn.com/i/teamlogos/ncaa/500/264.png",30.34,5.66,12.77,0.26,1.6,4.4,7.54,2.29,2.74,5.03,3.71,1.89,0.37,3.77,2.66,15.97,35
26,"Miles Plumlee","Duke",2012,41720,150,"Forward",NA,"Duke","https://a.espncdn.com/i/teamlogos/ncaa/500/150.png",20.5,2.62,4.29,0,0,1.41,2.24,2.91,4.21,7.12,0.53,0.53,0.94,1.24,2.29,6.65,34
27,"Arnett Moultrie","Mississippi State",2012,41183,344,"Forward",NA,"Mississippi State","https://a.espncdn.com/i/teamlogos/ncaa/500/344.png",35.77,6,10.93,0.27,0.6,4.13,5.3,3.67,6.8,10.47,1.17,0.83,0.77,2.43,2.23,16.4,30
28,"Perry Jones","Baylor",2012,51237,239,"Forward",NA,"Baylor","https://a.espncdn.com/i/teamlogos/ncaa/500/239.png",30.91,5.59,11.28,0.31,1.03,2.22,3.19,2.69,5.03,7.72,1.28,0.88,0.59,1.69,2.38,13.72,32
29,"Marquis Teague","Kentucky",2012,56354,96,"Guard",NA,"Kentucky","https://a.espncdn.com/i/teamlogos/ncaa/500/96.png",32.58,3.62,8.8,0.65,2,2.12,2.98,0.42,2.1,2.52,4.78,0.92,0.25,2.72,2.28,10.03,40
30,"Festus Ezeli","Vanderbilt",2012,38505,238,"Center",NA,"Vanderbilt","https://a.espncdn.com/i/teamlogos/ncaa/500/238.png",23.19,3.42,6.35,0,0,3.23,5.35,2.38,3.54,5.92,0.31,0.42,2,2.23,3.15,10.08,26
31,"Jeffery Taylor","Vanderbilt",2012,41709,238,"Forward",NA,"Vanderbilt","https://a.espncdn.com/i/teamlogos/ncaa/500/238.png",32.14,5.83,11.83,1.83,4.33,2.64,4.36,2.14,3.42,5.56,1.72,1.28,0.44,2.19,1.86,16.14,36
33,"Bernard James","Florida State",2012,51353,52,"Forward",NA,"Florida State","https://a.espncdn.com/i/teamlogos/ncaa/500/52.png",27.97,4.49,7.4,0,0,1.83,3.31,3.06,5.03,8.09,0.46,0.74,2.34,2.09,1.94,10.8,35
34,"Jae Crowder","Marquette",2012,51394,269,"Forward",NA,"Marquette","https://a.espncdn.com/i/teamlogos/ncaa/500/269.png",32.94,6.2,12.46,1.74,5.06,3.4,4.63,2,6.4,8.4,2.09,2.51,1,1.26,2.66,17.54,35
35,"Draymond Green","Michigan State",2012,41760,127,"Forward",NA,"Michigan State","https://a.espncdn.com/i/teamlogos/ncaa/500/127.png",33.22,5.73,12.76,1.41,3.62,3.38,4.68,2.14,8.49,10.62,3.81,1.46,0.97,3.03,2.84,16.24,37
36,"Orlando Johnson","UC Santa Barbara",2012,37470,2540,"Guard",NA,"UC Santa Barbara","https://a.espncdn.com/i/teamlogos/ncaa/500/2540.png",34.6,6.7,14.87,2.27,5.37,4.23,6.07,1.7,4.23,5.93,2.93,1.13,0.7,2.43,1.83,19.9,30
37,"Quincy Acy","Baylor",2012,41788,239,"Forward",NA,"Baylor","https://a.espncdn.com/i/teamlogos/ncaa/500/239.png",29.95,4,7.08,0.08,0.14,3.57,4.59,2.59,4.86,7.46,1,0.92,1.81,1.92,3.14,11.65,37
38,"Quincy Miller","Baylor",2012,56614,239,"Forward",NA,"Baylor","https://a.espncdn.com/i/teamlogos/ncaa/500/239.png",24.44,3.81,8.47,0.67,1.86,2.56,3.11,1.5,3.42,4.92,1.36,0.64,0.61,1.78,1.89,10.83,36
39,"Khris Middleton","Texas A&M",2012,46005,245,"Forward",NA,"Texas A&M","https://a.espncdn.com/i/teamlogos/ncaa/500/245.png",28.75,5.1,12.3,1,3.85,1.95,2.6,1.3,3.65,4.95,2.25,0.95,0.25,2.15,1.85,13.15,20
