"Player","College","draft_year","Pk","athlete_id","team_location","num_years_college","college_1","college_2","college_3","college_4","nba_season_1","nba_season_2","nba_season_3","nba_season_4","nba_season_5"
"Festus Ezeli","Vanderbilt",2012,30,38505,"Vanderbilt",4,6.926,5.979,11.093,13.329,-1.13,-0.97,-1,-0.22,-0.73
"Frank Jackson","Duke",2017,31,4065651,"Duke",1,9.21,NA,NA,NA,-1.24,-2.55,-2.99,-1.02,-1.58
"Frank Kaminsky","Wisconsin",2015,9,56769,"Wisconsin",4,13.337,25,11.093,13.329,-0.57,-0.94,-1.84,0.45,-1.17
"Frank Mason","Kansas",2017,34,67430,"Kansas",4,3.728,9.483,9.938,23.71,-1.07,-1.14,-0.12,-2.06,NA
"Franz Wagner","Michigan",2021,8,4566434,"Michigan",2,5.932,12.266,NA,NA,-0.68,-0.1,1.65,2.38,1.66
"Gani Lawal","Georgia Tech",2010,46,36507,"Georgia Tech",3,3.585,5.751,6.766,NA,-1.86,NA,NA,NA,NA
"Gary Harris","Michigan State",2014,19,62613,"Michigan State",2,8.068,13.266,NA,NA,-1.61,-0.63,0.07,0.82,0.47
"Gary Trent","Duke",2018,37,4277843,"Duke",1,9.966,NA,NA,NA,-3.13,-0.75,-2.08,-0.19,-0.56
"George Hill","IUPUI",2008,26,22778,"IUPUI",4,25,9.65,11.093,13.329,-0.92,0.65,0.24,1.07,2.67
"George King","Colorado",2018,59,66205,"Colorado",4,6.207,7.589,7.298,13.329,-1.49,-2.63,NA,NA,NA
"Georges Niang","Iowa State",2016,50,61212,"Iowa State",4,6.251,9.507,9.948,15.929,-2.2,-2.05,-2.17,-1.23,-0.27
"Gerald Henderson","Duke",2009,12,31708,"Duke",3,7.399,9.463,11.093,NA,-1.36,-1,-2.27,-1.17,-0.72
"Glenn Robinson","Michigan",2014,40,61806,"Michigan",2,8.862,9.083,NA,NA,-2.62,-1.71,-0.64,-0.63,-1.48
"Goran Suton","Michigan State",2009,50,22394,"Michigan State",4,6.95,5.71,11.093,13.329,-10,NA,NA,NA,NA
"Gordon Hayward","Butler",2010,9,42247,"Butler",2,10.1,13.555,NA,NA,-1.18,0.54,0.89,-0.26,2.23
"Gorgui Dieng","Louisville",2013,21,51476,"Louisville",3,2.656,5.919,7.92,NA,-0.99,-0.35,0.44,1.36,-1.28
"Gradey Dick","Kansas",2023,13,5106258,"Kansas",1,8.206,NA,NA,NA,-2.55,-2.37,-1.83,NA,NA
"Grant Jerrett","Arizona",2013,40,61550,"Arizona",1,2.44,NA,NA,NA,-2.16,-2.2,NA,NA,NA
"Grant Riller","College of Charleston",2020,56,3912295,"College of Charleston",4,10.398,12.934,17.49,18.546,-1.93,-1.75,NA,NA,NA
"Grant Williams","Tennessee",2019,22,4066218,"Tennessee",3,10.99,11.61,17.629,NA,-1,-1.5,-0.63,0.13,-1.37
"Grayson Allen","Duke",2018,21,3135045,"Duke",4,20.649,13.555,13.354,13.329,-2.42,-1.58,-0.38,-0.13,0.37
"Greg Brown","Texas",2021,43,4432161,"Texas",1,5.204,NA,NA,NA,-1.82,-2.1,-2.51,NA,NA
"Greg Monroe","Georgetown",2010,7,41733,"Georgetown",2,8.285,13.426,NA,NA,0.79,-0.57,-0.08,-0.68,0.19
"Greivis Vasquez","Maryland",2010,28,32018,"Maryland",4,11.792,9.85,17.8,13.329,-1.06,0.2,0.32,0.66,-0.61
"Hamidou Diallo","Kentucky",2018,45,4080610,"Kentucky",1,5.304,NA,NA,NA,-2.89,-2.75,-2.47,-0.98,-0.27
"Harrison Barnes","UNC",2012,7,51385,"UNC",2,6.885,10.348,NA,NA,-1.01,-1.61,0.73,-0.16,-0.31
