"Player","athlete_id","num_years_college","dpm"
"Brooks Barnhizer",4684208,4,-5
"Brooks Barnhizer",4684208,4,-5
"Brooks Barnhizer",4684208,4,-5
"Brooks Barnhizer",4684208,4,-5
"Bruce Brown",4065670,2,0.59
"Bruce Brown",4065670,2,1.15
"Bruce Brown",4065670,2,0.63
"Bruce Brown",4065670,2,-0.88
"Bruce Brown",4065670,2,-0.39
"Bruce Brown",4065670,2,-0.9
"Bruce Brown",4065670,2,-1.16
"Bruce Brown",4065670,2,0.56
"Bruce Brown",4065670,2,0.75
"Bruce Brown",4065670,2,0.15
"Bruno Fernando",4277952,2,-1.28
"Bruno Fernando",4277952,2,-2.41
"Bruno Fernando",4277952,2,-2.13
"Bruno Fernando",4277952,2,-1.68
"Bruno Fernando",4277952,2,-1.35
"Bryce McGowens",4576086,1,-3.36
"Bryce McGowens",4576086,1,-2.46
"Bryce McGowens",4576086,1,-1.97
"Bryce McGowens",4576086,1,-1.5
"Bryce McGowens",4576086,1,-5
"Bub Carrington",4845374,1,-1.14
"Bub Carrington",4845374,1,-5
"Bub Carrington",4845374,1,-5
"Bub Carrington",4845374,1,-5
"Bub Carrington",4845374,1,-5
"Buddy Hield",61663,4,-0.56
"Buddy Hield",61663,4,0.27
"Buddy Hield",61663,4,0.36
"Buddy Hield",61663,4,0.21
"Buddy Hield",61663,4,0.01
"Byron Mullens",41747,1,-4
"Byron Mullens",41747,1,-3.82
"Byron Mullens",41747,1,-3.03
"Byron Mullens",41747,1,-3.47
"Byron Mullens",41747,1,-2.57
"CJ Elleby",4397166,2,-2.12
"CJ Elleby",4397166,2,-2.75
"CJ Elleby",4397166,2,-5
"CJ Elleby",4397166,2,-5
"CJ Elleby",4397166,2,-5
"CJ McCollum",46502,4,-2.17
"CJ McCollum",46502,4,-0.68
"CJ McCollum",46502,4,1.39
"CJ McCollum",46502,4,2
"CJ McCollum",46502,4,1.87
"Cade Cunningham",4432166,2,-0.79
"Cade Cunningham",4432166,2,-0.82
"Cade Cunningham",4432166,2,0.2
"Cade Cunningham",4432166,2,1.42
"Cade Cunningham",4432166,2,3.62
"Cade Cunningham",4432166,2,-0.79
"Cade Cunningham",4432166,2,-0.82
"Cade Cunningham",4432166,2,0.2
"Cade Cunningham",4432166,2,1.42
"Cade Cunningham",4432166,2,3.62
"Cady Lalanne",51123,4,-1.14
"Cady Lalanne",51123,4,-5
"Cady Lalanne",51123,4,-5
"Cady Lalanne",51123,4,-5
"Cady Lalanne",51123,4,-5
"Caleb Houstan",4433623,1,-2.15
"Caleb Houstan",4433623,1,-1.06
"Caleb Houstan",4433623,1,-1.47
"Caleb Houstan",4433623,1,-1.01
"Caleb Houstan",4433623,1,-5
"Caleb Swanigan",3906671,2,-2.18
"Caleb Swanigan",3906671,2,-3.76
"Caleb Swanigan",3906671,2,-2.44
"Caleb Swanigan",3906671,2,-5
"Caleb Swanigan",3906671,2,-5
"Cam Christie",4845363,1,-1.22
"Cam Christie",4845363,1,-2.63
"Cam Christie",4845363,1,-1.77
"Cam Christie",4845363,1,-1.91
"Cam Christie",4845363,1,-1.43
"Cam Christie",4845363,1,-1.21
"Cam Reddish",4395627,1,-1.28
"Cam Reddish",4395627,1,-1.23
"Cam Reddish",4395627,1,-1.19
"Cam Reddish",4395627,1,-2.09
"Cam Reddish",4395627,1,-1.45
"Cam Spencer",4433083,5,-1.52
"Cam Spencer",4433083,5,-0.53
"Cam Spencer",4433083,5,-3.15
"Cam Spencer",4433083,5,-1.46
"Cam Spencer",4433083,5,-2.05
"Cam Thomas",4432174,1,-2.14
"Cam Thomas",4432174,1,-1.19
"Cam Thomas",4432174,1,-0.1
"Cam Thomas",4432174,1,-0.12
"Cam Thomas",4432174,1,-1.45
"Cam Thomas",4432174,1,0.31
"Cam Thomas",4432174,1,0.03
"Cam Thomas",4432174,1,-0.19
"Cam Thomas",4432174,1,-0.69
"Cam Thomas",4432174,1,-0.36
"Cam Whitmore",5105592,1,-0.6
"Cam Whitmore",5105592,1,-0.26
"Cam Whitmore",5105592,1,-1.38
"Cam Whitmore",5105592,1,-5
"Cam Whitmore",5105592,1,-5
"Cameron Bairstow",51163,4,-3.4
"Cameron Bairstow",51163,4,-2.88
"Cameron Bairstow",51163,4,-5
"Cameron Bairstow",51163,4,-5
"Cameron Bairstow",51163,4,-5
"Cameron Johnson",3138196,5,-0.29
"Cameron Johnson",3138196,5,0.35
"Cameron Johnson",3138196,5,0.66
"Cameron Johnson",3138196,5,1.49
"Cameron Johnson",3138196,5,0.51
"Cameron Payne",66902,2,-1.94
"Cameron Payne",66902,2,-3.19
"Cameron Payne",66902,2,-1.84
"Cameron Payne",66902,2,-1.97
"Cameron Payne",66902,2,-0.96
"Caris LeVert",61810,4,-0.13
"Caris LeVert",61810,4,-1.03
"Caris LeVert",61810,4,0.21
"Caris LeVert",61810,4,0.99
"Caris LeVert",61810,4,-0.53
"Carl Landry",22137,3,0.24
"Carl Landry",22137,3,-0.48
"Carl Landry",22137,3,-0.15
"Carl Landry",22137,3,-1.34
"Carl Landry",22137,3,-1.08
"Carrick Felix",51084,3,-2.22
"Carrick Felix",51084,3,-1.78
"Carrick Felix",51084,3,-5
"Carrick Felix",51084,3,-5
"Carrick Felix",51084,3,-5
"Carsen Edwards",4066407,3,-1.8
"Carsen Edwards",4066407,3,-2.03
"Carsen Edwards",4066407,3,-2.66
"Carsen Edwards",4066407,3,-5
"Carsen Edwards",4066407,3,-5
"Carter Bryant",5061568,1,-1.78
"Carter Bryant",5061568,1,-5
"Carter Bryant",5061568,1,-5
"Carter Bryant",5061568,1,-5
"Carter Bryant",5061568,1,-5
"Cason Wallace",4683692,1,0.66
"Cason Wallace",4683692,1,0.61
"Cason Wallace",4683692,1,1.38
"Cason Wallace",4683692,1,-5
"Cason Wallace",4683692,1,-5
"Cassius Stanley",4431686,1,-2.65
"Cassius Stanley",4431686,1,-2.19
"Cassius Stanley",4431686,1,-5
"Cassius Stanley",4431686,1,-5
"Cassius Stanley",4431686,1,-5
"Cassius Winston",4066382,4,-2.97
"Cassius Winston",4066382,4,-2.95
"Cassius Winston",4066382,4,-5
"Cassius Winston",4066382,4,-5
"Cassius Winston",4066382,4,-5
"Cedric Coward",4903027,4,-0.28
"Cedric Coward",4903027,4,-5
"Cedric Coward",4903027,4,-5
"Cedric Coward",4903027,4,-5
"Cedric Coward",4903027,4,-5
"Cedric Simmons",22347,2,-3.4
"Cedric Simmons",22347,2,-3.75
"Cedric Simmons",22347,2,-3.57
"Cedric Simmons",22347,2,-5
"Cedric Simmons",22347,2,-5
"Chandler Hutchison",3149010,4,-1.56
"Chandler Hutchison",3149010,4,-1.38
"Chandler Hutchison",3149010,4,-2.72
"Chandler Hutchison",3149010,4,-2.83
"Chandler Hutchison",3149010,4,-5
"Chandler Parsons",36383,4,0.24
"Chandler Parsons",36383,4,0.57
"Chandler Parsons",36383,4,0.99
"Chandler Parsons",36383,4,1.44
"Chandler Parsons",36383,4,0.96
"Channing Frye",4971,4,-1.43
"Channing Frye",4971,4,-2.52
"Channing Frye",4971,4,-0.81
"Channing Frye",4971,4,-3.09
"Channing Frye",4971,4,0.66
"Charles Bassey",4397886,3,-1.36
"Charles Bassey",4397886,3,-1.13
"Charles Bassey",4397886,3,0.09
"Charles Bassey",4397886,3,-0.58
"Charles Bassey",4397886,3,-0.04
"Charles Jenkins",31911,4,-3.71
"Charles Jenkins",31911,4,-3.28
"Charles Jenkins",31911,4,-5
"Charles Jenkins",31911,4,-5
"Charles Jenkins",31911,4,-5
"Charlie Villanueva",15342,2,-0.61
"Charlie Villanueva",15342,2,-0.17
"Charlie Villanueva",15342,2,-1.72
"Charlie Villanueva",15342,2,-0.26
"Charlie Villanueva",15342,2,-2.33
"Chase Budinger",31642,3,-0.45
"Chase Budinger",31642,3,0.08
"Chase Budinger",31642,3,0.45
"Chase Budinger",31642,3,-0.11
"Chase Budinger",31642,3,-0.57
"Chaz Lanier",4700852,5,-3.03
"Chaz Lanier",4700852,5,-5
"Chaz Lanier",4700852,5,-5
"Chaz Lanier",4700852,5,-5
"Chaz Lanier",4700852,5,-5
"Cheick Diallo",3919335,1,-2.48
"Cheick Diallo",3919335,1,-2.07
"Cheick Diallo",3919335,1,-0.47
"Cheick Diallo",3919335,1,-1.26
"Cheick Diallo",3919335,1,-1.5
"Chet Holmgren",4433255,1,0.15
