Rk,Yr,Ht,Player,Team,Conf,G,Role,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl
123,Jr,6-4,Finley Bizjack,Butler,BE,31,Combo G,81,3.8,2.8,2.6,3.5,-0.9,116.7,109.9,22.3,51.4,57.7,1.8,5.5,14.6,13.1,0.3,1.2
124,Sr,6-6,Jakobi Heady,Bethune Cookman,SWAC,31,Wing G,88.4,3.8,2.6,3.7,3.7,0,123.2,112.8,21.4,58,64.5,4.7,11,10.4,13.5,0.4,2.3
125,Sr,6-7,J'Vonne Hadley,Louisville,ACC,34,Wing G,68,3.8,3.7,7.4,4.3,3.1,131.2,96.4,16.3,63.3,64.8,5.1,14.8,11.2,10.5,1.2,2
126,Sr,6-1,Benny Gealer,Stanford,ACC,33,Combo G,73.4,3.8,3.1,5.8,3.4,2.4,132.9,104,15,60.3,63.5,1.8,8.8,10.9,9.3,0.5,3.1
127,Sr,6-3,Nick Anderson,Rice,Amer,29,Wing G,73.9,3.8,2.2,5.9,5.9,0,125.5,113,22,56.5,60.4,3.6,12.6,8.4,9.6,1.1,2.4
128,Sr,6-10,KeShawn Murphy,Auburn,SEC,31,PF/C,48.2,3.8,2.9,8.1,6.3,1.8,130.1,99.2,20.1,58.9,61.8,12.7,20.7,10.5,11.3,4.6,2.3
129,Fr,6-10,Nate Ament,Tennessee,SEC,35,Wing F,69.5,3.8,4.2,7.2,4.5,2.7,113.3,93.2,27.8,45.2,53.4,6.7,17,14.8,16.2,2.7,1.9
130,Sr,6-3,Jaden Bradley,Arizona,B12,39,Scoring PG,76.2,3.8,4.5,7.5,3.2,4.4,119.3,91.7,21.1,49.9,56.8,1.8,9.5,23.2,15.1,0.3,2.6
131,Sr,6-2,Donovan Dent,UCLA,B10,35,Pure PG,82.8,3.8,4,4.9,3.1,1.8,109.5,100.3,26.3,43,46.7,1.7,8.6,41.6,12.4,1.3,3
132,Sr,6-3,B.J. Edwards,SMU,ACC,28,Combo G,67.8,3.8,3.9,7.1,3.9,3.2,120.9,99.8,19.7,55.1,57.9,4.4,15.2,23.8,16.8,0.7,4
133,Sr,6-5,Anthony Roy,Oklahoma St.,B12,31,Wing G,62.9,3.8,2.6,5.3,6.2,-0.9,118.3,108.1,23.3,55.5,60.9,2.5,12.8,8.6,12.7,0.9,1
134,Sr,6-2,Camren Hunter,Central Arkansas,ASun,32,Combo G,77.9,3.8,2.7,6.5,6.4,0.1,120.3,109.6,29,58,61.3,4.2,12,19.8,11.6,1.2,2.5
135,Sr,6-7,Rashaun Agee,Texas A&M,SEC,34,Stretch 4,65.5,3.8,3.5,8.6,5.9,2.7,122.2,95.9,25.1,52.7,58.1,10.5,24.8,16.7,10.9,3.4,2
136,Sr,6-1,Keon Thompson,Stephen F. Austin,Slnd,32,Scoring PG,75.5,3.8,3.2,5,3.8,1.2,111.8,104.3,33.3,52.4,56,4,14.5,32.5,16.5,0.5,2.2
137,Sr,6-5,Tyler Lundblade,Belmont,MVC,31,Combo G,85.9,3.8,2.4,1.8,3.8,-2,127.8,114.2,17.5,59.7,64,0.6,7.6,8.8,8.8,0.1,0.5
138,Jr,6-2,Xzayvier Brown,Oklahoma,SEC,37,Combo G,79.8,3.8,3.1,4.3,3.4,0.9,118,106.6,22.7,52.6,57,1.4,9.8,19.1,13.1,0.7,2.3
139,Sr,6-7,Tre White,Kansas,B12,35,Wing F,77.8,3.8,4.3,6,3.8,2.2,115.9,94.8,21.3,53.5,60,7,14.9,10.7,16.1,1.3,1.1
140,Sr,6-10,Parsa Fallah,Oklahoma St.,B12,26,Wing F,48.4,3.7,2.8,6.5,5.4,1.1,123,103.9,22.2,62.3,64.2,9.8,14.8,6.3,12.4,1.9,2.4
141,Fr,6-9,Thijs De Ridder,Virginia,ACC,36,Stretch 4,68.2,3.7,3.5,6.2,4.8,1.4,118.6,97.3,26.5,55.9,59.1,9.9,14.7,11.7,14.6,1.9,1.8
142,Sr,6-10,Robbie Avila,Saint Louis,A10,34,Wing F,66.3,3.7,3.2,8.1,5.8,2.3,126.6,99.9,22.2,60.2,64.4,2.9,14.5,25.9,16.6,2.3,1.4
143,So,6-4,Zoom Diallo,Washington,B10,33,Scoring PG,73.3,3.7,3.2,4.2,3.5,0.7,112.5,103.2,28.5,51.7,56.3,3.6,11.7,30.3,17.8,0,1.3
144,Jr,6-5,Blue Cain,Georgia,SEC,33,Wing G,68.4,3.7,3.2,6.9,5.3,1.6,126.9,100.9,20.2,53.6,58.3,6.1,13.4,15.8,10.5,0.7,2.7
145,Jr,6-5,Michael McNair,Boston University,Pat,33,Wing G,89.6,3.7,1.7,2.8,4.8,-1.9,125,120.4,21.1,60.9,62.7,3.8,14,12.3,10.3,1.2,1.8
146,So,6-4,Trent Perry,UCLA,B10,35,Combo G,72,3.7,3.2,5.6,3.8,1.7,120.3,103.1,21,51.5,59.2,3.2,9,16.8,13,0.6,1.9
147,So,5-9,Jaquan Johnson,Bradley,MVC,33,Scoring PG,73.7,3.7,3.2,6.9,4.2,2.7,116.2,103.1,28.2,48.3,55.3,3.6,12.1,25.3,9.8,0.1,4.6
148,Sr,6-10,Trevon Brazile,Arkansas,SEC,36,Stretch 4,75.6,3.7,4.1,8.1,4.8,3.3,125.3,96.5,17.2,59.5,61.9,5.8,20.6,7.6,10.8,5.2,2.6
149,Fr,6-4,Gavin Sykes,Long Beach St.,BW,26,Wing G,72.3,3.7,2.1,1.9,4.5,-2.5,116.6,116.4,24.7,54.5,58.6,1.7,9.3,9.7,8.3,0.9,0.5
150,Jr,6-3,Jalen Cox,Colgate,Pat,29,Scoring PG,79.7,3.7,2.8,3.5,3,0.6,116.5,110.8,28,53.9,59.1,2.3,15.5,31.5,15.1,0.9,2.9
151,Sr,6-11,Rafael Castro,George Washington,A10,28,C,56.8,3.7,3.6,8.9,5.5,3.4,122.4,96.5,24.7,62.8,64.7,11.8,26.3,12.7,16,7.9,3.5
152,Sr,6-3,Derrian Ford,Temple,Amer,30,Wing G,86.4,3.7,2.6,1.3,3.1,-1.8,114.7,113.6,24.8,48.7,56.5,2.8,11.7,11.5,10.8,0.2,1.1
153,Sr,6-2,Meechie Johnson,South Carolina,SEC,32,Scoring PG,77.7,3.7,3.2,5.7,4.3,1.4,111.6,104.5,29,49,56.6,1.1,11.4,29.4,14.8,0.4,2.3
154,So,6-5,Nolan Minessale,St. Thomas,Sum,31,Scoring PG,79.1,3.7,3.2,4.6,3.3,1.3,114.2,105.5,31.6,54,58.8,2.9,13.8,25.9,13.7,2,3.1
155,Jr,6-7,Andrej Stojakovic,Illinois,B10,34,Wing F,59.7,3.7,3.3,5.1,3.5,1.6,119.5,97.8,23.8,53,57.8,6,13.1,7.4,12.7,1.9,0.9
156,Fr,6-7,Stefan Vaaks,Providence,BE,31,Combo G,72.1,3.7,2.3,3.5,4.6,-1,115.4,112.4,23.4,52.2,56.7,1.7,6.7,18.1,14.3,0.8,1.5
157,Sr,6-2,Kamrin Oriol,North Florida,ASun,30,Scoring PG,89.8,3.7,0.8,-0.5,3.3,-3.8,114.1,127.6,27.4,58.1,62.3,0.7,8.1,25.1,18.4,0.3,1.2
158,Jr,6-4,Money Williams,Montana,BSky,30,Scoring PG,79.6,3.7,2.8,2.4,2.7,-0.3,108,109.2,35.5,54.7,61.8,2.2,12.5,32.8,21.2,1,1.7
159,Sr,6-2,Jackson Paveletzke,Ohio,MAC,30,Scoring PG,91.7,3.7,2.1,0.6,2.5,-1.9,116.1,117.5,24.2,51.1,58,1.4,8.1,26.8,14.5,0,1.3
160,Sr,6-9,Jaxon Kohler,Michigan St.,B10,35,PF/C,68.8,3.7,4.1,9.1,6.3,2.8,124,91.1,20.1,58.8,61.5,12.8,25,9,14.7,3.1,1.3
161,Jr,6-4,Tyler Perkins,Villanova,BE,33,Wing G,73.8,3.7,3.6,6.9,5,1.9,120.4,99.4,21.1,53.2,56,5.9,15.7,10.4,7.5,1,2.4
162,Sr,7-0,Nate Bittle,Oregon,B10,25,PF/C,60.5,3.7,3.5,8,5.4,2.6,110.8,101.5,27.7,52.2,56.3,7.9,17.9,19.7,15.3,7,1.7
163,Jr,6-4,Christian Bliss,Delaware,CUSA,30,Scoring PG,97.5,3.7,2.8,1.2,1.8,-0.5,111.7,114,26.5,51.8,58.4,2.4,13.1,33.3,18.4,0.3,2.8
164,Jr,6-1,Sonny Wilson,Toledo,MAC,32,Scoring PG,92.2,3.7,2.6,2,3,-1,117.8,114.2,23.1,54,56.3,3.5,8.4,22,11.2,0.1,2.1
